2022263N10313,IAN,a,0000,NR,10.2000,-56.6000, , , ,PROVISIONAL,360,322,O_____________,nhc_working_bt,AL092022,10.2000,-56.6000, ,DB,30,1009,-3, , , , , , , , , , , , ,1011,150,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40, , , , , , , , , ,8,272
2022263N10313,IAN,a,0300,NR,10.1849,-57.1177, , , ,PROVISIONAL,322,279,P_____________, ,AL092022,10.1849,-57.1177, ,DB,30,1009,-3, , , , , , , , , , , , ,1011,150,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,270
2022263N10313,IAN,a,0600,NR,10.2000,-57.8000, , , ,PROVISIONAL,279,254,O_____________,nhc_working_bt,AL092022,10.2000,-57.8000, ,DB,30,1009,-3, , , , , , , , , , , , ,1011,150,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,275
2022263N10313,IAN,a,0900,NR,10.3199,-58.5975, , , ,PROVISIONAL,249,175,P_____________, ,AL092022,10.3199,-58.5975, ,DB,30,1008,-3, , , , , , , , , , , , ,1010,150,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,280
2022263N10313,IAN,a,1200,NR,10.5000,-59.5000, , , ,PROVISIONAL,164,65,O_____________,nhc_working_bt,AL092022,10.5000,-59.5000, ,DB,30,1007,-3, , , , , , , , , , , , ,1010,150,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40, , , , , , , , , ,19,282
2022263N10313,IAN,a,1500,NR,10.7002,-60.4724, , , ,PROVISIONAL,54,11,P_____________, ,AL092022,10.7002,-60.4724, ,DB,30,1007,-3, , , , , , , , , , , , ,1010,150,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,282
2022263N10313,IAN,a,1800,NR,10.9000,-61.4000, , , ,PROVISIONAL,22,22,O_____________,nhc_working_bt,AL092022,10.9000,-61.4000, ,DB,30,1007,-3, , , , , , , , , , , , ,1010,150,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40, , , , , , , , , ,17,283
2022263N10313,IAN,a,2100,NR,11.0721,-62.1450, , , ,PROVISIONAL,46,44,P_____________, ,AL092022,11.0721,-62.1450, ,DB,30,1007,-3, , , , , , , , , , , , ,1010,150,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,282
2022263N10313,IAN,a,0000,NR,11.2000,-62.8000, , , ,PROVISIONAL,56,56,O_____________,nhc_working_bt,AL092022,11.2000,-62.8000, ,DB,30,1007,-3, , , , , , , , , , , , ,1010,150,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40, , , , , , , , , ,13,277
2022263N10313,IAN,a,0300,NR,11.2424,-63.4802, , , ,PROVISIONAL,67,67,P_____________, ,AL092022,11.2424,-63.4802, ,DB,30,1007,-3, , , , , , , , , , , , ,1010,150,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,274
